CSDUID,LOCAL_YEAR,POP
1008064,2018,68
1001120,2018,66
1010001,2018,62
1001140,2018,53
1009042,2018,53
1003042,2018,50
1007025,2018,51
1004017,2018,49
1007045,2018,48
1009047,2018,42
1001101,2018,37
1005019,2018,35
1007026,2018,31
1001405,2018,28
1003001,2018,24
1009037,2018,20
1002009,2018,10
1007051,2018,10
1008052,2018,10
1008073,2018,5
1001391,2018,0
1002029,2018,0
1002044,2018,0
1003006,2018,0
1003009,2018,0
1010042,2018,0
1011005,2018,0
1011040,2018,0
1102075,2018,39530
1103025,2018,15356
1102080,2018,10728
1102085,2018,5883
1102052,2018,3161
1102028,2018,2607
1102014,2018,2296
1101018,2018,1998
1103012,2018,1943
1102026,2018,1939
1102044,2018,1903
1103058,2018,1802
1102054,2018,1832
1103014,2018,1798
1103056,2018,1466
1102049,2018,1460
1103049,2018,1298
1101009,2018,1161
1102040,2018,1269
1103011,2018,1205
1103052,2018,1231
1103051,2018,1182
1103026,2018,1108
1102012,2018,1212
1103016,2018,1167
1101036,2018,982
1103009,2018,1077
1102042,2018,1074
1102008,2018,1057
1102009,2018,1042
1101001,2018,894
1102031,2018,1033
1103024,2018,907
1102029,2018,929
1102039,2018,884
1102038,2018,830
1102036,2018,910
1103001,2018,823
1103041,2018,886
1103042,2018,846
1101006,2018,965
1101014,2018,862
1103034,2018,838
1101032,2018,742
1103054,2018,772
1102056,2018,822
1103031,2018,734
1101008,2018,774
1101016,2018,743
1103005,2018,753
1103006,2018,713
1103059,2018,629
1103028,2018,728
1103032,2018,783
1101031,2018,694
1102037,2018,716
1101049,2018,652
1102041,2018,617
1102046,2018,662
1102058,2018,641
1103019,2018,627
1102001,2018,618
1101024,2018,713
1103046,2018,568
1101051,2018,550
1103036,2018,501
1101019,2018,508
1101039,2018,497
1101034,2018,526
1103048,2018,476
1102006,2018,452
1101046,2018,459
1103029,2018,483
1101042,2018,422
1101028,2018,406
1102048,2018,408
1102070,2018,328
1102033,2018,388
1102043,2018,353
1101038,2018,393
1103008,2018,350
1101029,2018,366
1102045,2018,357
1103035,2018,345
1101026,2018,339
1102034,2018,350
1102004,2018,337
1103023,2018,329
1101004,2018,317
1103015,2018,327
1101048,2018,317
1103044,2018,366
1101022,2018,291
1101021,2018,324
1103027,2018,284
1103038,2018,275
1101002,2018,268
1103033,2018,259
1101041,2018,257
1101044,2018,247
1102065,2018,246
1101011,2018,217
1102059,2018,230
1102050,2018,223
1102057,2018,221
1102051,2018,182
1103018,2018,166
1103062,2018,153
1102032,2018,81
1103057,2018,68
1102030,2018,57
1101050,2018,22
1209034,2018,429613
1217030,2018,94808
1206001,2018,25305
1208008,2018,22908
1207001,2018,23090
1210008,2018,19730
1208001,2018,15859
1210001,2018,13458
1210006,2018,12583
1207016,2018,12288
1206009,2018,10587
1204010,2018,10295
1202004,2018,10015
1211011,2018,9519
1212014,2018,9224
1206004,2018,8780
1212011,2018,8547
1214001,2018,8416
1207011,2018,8254
1203001,2018,7993
1202001,2018,7922
1203004,2018,7158
1211006,2018,6948
1201001,2018,6723
1202006,2018,6789
1214006,2018,6428
1207012,2018,6458
1212006,2018,6098
1212001,2018,6051
1205004,2018,5875
1211009,2018,5339
1207021,2018,5312
1215011,2018,5149
1205014,2018,5251
1215006,2018,4952
1213004,2018,4516
1205009,2018,4638
1214002,2018,4531
1201006,2018,4322
1207024,2018,4346
1212009,2018,4277
1211014,2018,4119
1218001,2018,4046
1216006,2018,3857
1208002,2018,3652
1212008,2018,3694
1210012,2018,3460
1217020,2018,3726
1215002,2018,3242
1215001,2018,3161
1212004,2018,3281
1216001,2018,3133
1205001,2018,3149
1218006,2018,2545
1207004,2018,2485
1212016,2018,2452
1206006,2018,2320
1213001,2018,2224
1203006,2018,2146
1211001,2018,1923
1205016,2018,1899
1201008,2018,1687
1216011,2018,1619
1210002,2018,1352
1211002,2018,1192
1211012,2018,1260
1208014,2018,1121
1206008,2018,987
1217008,2018,1030
1210003,2018,947
1215008,2018,858
1201004,2018,764
1213008,2018,744
1218003,2018,541
1201009,2018,536
1216014,2018,518
1212019,2018,499
1205008,2018,524
1214010,2018,368
1209019,2018,215
1202040,2018,161
1207002,2018,145
1203009,2018,140
1206011,2018,97
1207027,2018,85
1204015,2018,29
1206014,2018,27
1209038,2018,28
1209037,2018,22
1205006,2018,16
1204009,2018,15
1209800,2018,10
1205002,2018,0
1206016,2018,0
1209029,2018,0
1212023,2018,0
1307022,2018,75675
1301006,2018,70259
1310032,2018,62050
1307045,2018,27105
1306020,2018,20216
1305057,2018,18692
1309050,2018,17704
1313027,2018,16871
1315002,2018,16382
1315011,2018,12023
1305045,2018,12005
1307019,2018,10512
1303012,2018,9727
1303008,2018,7548
1314014,2018,6899
1307052,2018,7064
1307005,2018,6748
1315012,2018,6353
1310028,2018,6471
1307009,2018,5632
1312019,2018,5215
1311006,2018,5341
1303011,2018,5263
1305015,2018,5002
1310031,2018,5086
1315029,2018,4721
1307016,2018,5079
1307013,2018,4931
1315008,2018,4832
1310017,2018,4940
1306014,2018,4539
1302037,2018,4570
1315015,2018,4392
1305007,2018,4362
1305022,2018,4354
1315028,2018,4235
1310002,2018,4213
1308001,2018,3967
1301004,2018,3951
1309036,2018,3696
1314013,2018,3614
1305031,2018,3597
1307024,2018,3414
1310026,2018,3453
1314017,2018,3124
1308004,2018,3143
1305014,2018,2973
1310018,2018,2964
1305006,2018,2869
1311014,2018,2818
1308002,2018,2702
1310001,2018,2731
1315031,2018,2598
1305021,2018,2489
1307007,2018,2555
1315024,2018,2399
1302052,2018,2460
1308005,2018,2402
1302016,2018,2425
1315019,2018,2353
1304022,2018,2286
1307028,2018,2317
1309028,2018,2276
1309027,2018,2173
1309001,2018,2170
1314022,2018,2175
1311004,2018,2224
1302011,2018,2175
1312021,2018,2201
1311028,2018,2196
1309018,2018,2056
1315006,2018,2046
1308019,2018,2019
1308006,2018,2050
1314020,2018,1987
1305011,2018,1988
1308015,2018,2015
1314011,2018,1931
1315014,2018,1937
1308016,2018,1987
1303016,2018,1909
1302034,2018,1867
1308021,2018,1830
1302026,2018,1823
1310004,2018,1864
1311011,2018,1768
1308007,2018,1801
1311008,2018,1756
1311031,2018,1692
1309026,2018,1708
1309038,2018,1784
1314006,2018,1685
1311027,2018,1633
1313024,2018,1634
1312006,2018,1581
1309004,2018,1607
1313022,2018,1557
1314021,2018,1570
1302042,2018,1558
1305034,2018,1556
1302018,2018,1525
1312008,2018,1485
1310024,2018,1555
1312014,2018,1467
1305023,2018,1488
1314025,2018,1368
1305018,2018,1413
1307029,2018,1419
1315021,2018,1379
1305026,2018,1387
1308014,2018,1361
1315026,2018,1321
1306011,2018,1339
1311001,2018,1327
1314004,2018,1316
1315027,2018,1326
1305016,2018,1334
1313006,2018,1344
1315032,2018,1297
1305004,2018,1296
1306025,2018,1278
1308018,2018,1262
1315016,2018,1217
1301016,2018,1219
1311024,2018,1183
1302039,2018,1221
1307008,2018,1201
1309044,2018,1248
1310021,2018,1234
1315036,2018,1161
1309017,2018,1180
1310006,2018,1182
1309031,2018,1150
1301001,2018,1174
1313001,2018,1090
1307012,2018,1172
1312016,2018,1109
1309016,2018,1123
1304025,2018,1092
1312004,2018,1075
1314001,2018,1081
1314008,2018,1104
1305028,2018,1083
1307004,2018,1084
1305038,2018,1080
1310034,2018,1095
1311018,2018,997
1312009,2018,1017
1313004,2018,991
1309011,2018,985
1312007,2018,969
1315037,2018,963
1309014,2018,960
1313011,2018,989
1313012,2018,970
1309019,2018,969
1311012,2018,987
1310054,2018,983
1314015,2018,918
1310016,2018,989
1304021,2018,925
1304024,2018,911
1307001,2018,927
1302012,2018,912
1315038,2018,901
1306008,2018,925
1312001,2018,898
1315013,2018,854
1315033,2018,860
1302004,2018,848
1308022,2018,908
1304018,2018,844
1308008,2018,846
1310036,2018,843
1308017,2018,839
1303001,2018,801
1303014,2018,831
1302006,2018,754
1315030,2018,795
1309022,2018,777
1311026,2018,794
1313039,2018,790
1313002,2018,780
1315022,2018,788
1312023,2018,735
1313014,2018,745
1315020,2018,725
1313015,2018,711
1308024,2018,704
1304005,2018,720
1308026,2018,720
1302008,2018,726
1303006,2018,720
1302021,2018,701
1313037,2018,673
1304001,2018,683
1314016,2018,676
1302028,2018,669
1314012,2018,661
1304011,2018,647
1306001,2018,660
1315017,2018,626
1303018,2018,616
1303005,2018,626
1313041,2018,615
1313018,2018,601
1302031,2018,584
1313035,2018,557
1304014,2018,558
1304013,2018,560
1302024,2018,563
1311019,2018,577
1309035,2018,533
1310011,2018,590
1309006,2018,527
1310019,2018,505
1315040,2018,503
1313032,2018,497
1311021,2018,481
1313042,2018,471
1311030,2018,491
1305024,2018,478
1312011,2018,460
1303004,2018,472
1309021,2018,456
1307011,2018,451
1304008,2018,421
1310037,2018,420
1307002,2018,385
1310005,2018,375
1310014,2018,360
1306003,2018,356
1308010,2018,351
1310012,2018,348
1302044,2018,341
1306004,2018,339
1311005,2018,353
1314010,2018,367
1305008,2018,340
1305036,2018,331
1304004,2018,315
1309023,2018,315
1312002,2018,305
1303013,2018,295
1313038,2018,281
1314005,2018,281
1313008,2018,279
1301002,2018,285
1304006,2018,280
1313034,2018,285
1310025,2018,286
1313033,2018,271
1305001,2018,256
1310008,2018,241
1314003,2018,229
1310013,2018,225
1313020,2018,217
1306006,2018,218
1304016,2018,204
1302001,2018,147
1308020,2018,141
1315010,2018,136
1308003,2018,99
1314026,2018,90
1310007,2018,76
1302014,2018,64
1309034,2018,49
1307014,2018,42
1308012,2018,15
1309047,2018,10
1313028,2018,10
1306007,2018,5
1313036,2018,5
2466023,2018,1783399
2423027,2018,541848
2465005,2018,435099
2481017,2018,283827
2458227,2018,246570
2443027,2018,166217
2494068,2018,146634
2425213,2018,146374
2437067,2018,136926
2464008,2018,115830
2456083,2018,96638
2458007,2018,88405
2460013,2018,85079
2449058,2018,77697
2475017,2018,77608
2447017,2018,67725
2473015,2018,59831
2454048,2018,56380
2474005,2018,55228
2436033,2018,49360
2466142,2018,49751
2410043,2018,49124
2467050,2018,49375
2464015,2018,48380
2439062,2018,47204
2472005,2018,44781
2486042,2018,42965
2458033,2018,42384
2470052,2018,41676
2471083,2018,40100
2453052,2018,34819
2489008,2018,32821
2429073,2018,33205
2466058,2018,34015
2466097,2018,32287
2493042,2018,30688
2459010,2018,29803
2457005,2018,30769
2467035,2018,28628
2473005,2018,26517
2445072,2018,27092
